Unnamed: 0,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,geometry,UIDENTSTLA,LICHT,STRZUSTAND,Date,fatal,serious_injury,minor_injury,Bicycles,Latitude,Longitude,index_right
794258,235489.0,5,5,15,0,2019,2,13,5,3,5,5,0.0,,1,1,0,0,0.0,0,405717.737,5757890.366,7.627713046,51.96370156,POINT (7.627713046 51.96370156),,,1.0,2019-02-01 13:00:00,0,0,1,1,51.96370156,7.627713046,0
794323,235554.0,5,5,15,0,2019,2,19,4,3,5,3,2.0,,1,1,0,0,0.0,0,407713.119,5751437.568,7.65847846,51.906034838,POINT (7.65847846 51.906034838),,,0.0,2019-02-01 19:00:00,0,0,1,1,51.906034838,7.65847846,0
794324,235555.0,5,5,15,0,2019,2,7,4,3,0,7,0.0,,1,0,0,0,0.0,1,404459.812726,5754627.83624,7.610316487,51.934161919,POINT (7.610316487 51.934161919),,,0.0,2019-02-01 07:00:00,0,0,1,1,51.934161919,7.610316487,0
794406,235637.0,5,5,15,0,2019,2,18,4,2,5,3,1.0,,1,0,0,1,0.0,0,405271.44439,5756339.75311,7.621646787,51.949688133,POINT (7.621646787 51.949688133),,,0.0,2019-02-01 18:00:00,0,1,0,1,51.949688133,7.621646787,0
794407,235638.0,5,5,15,0,2019,2,7,4,3,6,4,0.0,,1,0,1,0,0.0,0,406360.267,5757007.308,7.637302987,51.955872813,POINT (7.637302987 51.955872813),,,0.0,2019-02-01 07:00:00,0,0,1,1,51.955872813,7.637302987,0
794408,235639.0,5,5,15,0,2019,2,7,4,3,0,1,0.0,,1,1,0,0,0.0,0,399415.176855,5756802.33044,7.536328621,51.952817637,POINT (7.536328621 51.952817637),,,0.0,2019-02-01 07:00:00,0,0,1,1,51.952817637,7.536328621,0
794491,235722.0,5,5,15,0,2019,2,9,3,3,5,3,0.0,,1,1,0,0,0.0,0,408853.049725,5753466.98796,7.674507048,51.924464325,POINT (7.674507048 51.924464325),,,0.0,2019-02-01 09:00:00,0,0,1,1,51.924464325,7.674507048,0
794653,235884.0,5,5,15,0,2019,3,16,4,3,3,1,0.0,,1,0,0,0,0.0,0,407507.754,5754284.141,7.654729414,51.931587497,POINT (7.654729414 51.931587497),,,0.0,2019-03-01 16:00:00,0,0,1,1,51.931587497,7.654729414,0
794738,235969.0,5,5,15,0,2019,3,14,2,3,5,6,0.0,,1,0,0,0,0.0,0,406129.72501,5758081.61979,7.633655443,51.965490353,POINT (7.633655443 51.965490353),,,0.0,2019-03-01 14:00:00,0,0,1,1,51.965490353,7.633655443,0
794875,236106.0,5,5,15,0,2019,2,7,5,3,1,5,1.0,,1,1,0,0,0.0,0,403645.705237,5757375.42515,7.597708549,51.958717846,POINT (7.597708549 51.958717846),,,0.0,2019-02-01 07:00:00,0,0,1,1,51.958717846,7.597708549,0
794905,236136.0,5,5,70,44,2019,3,8,3,3,5,3,0.0,,1,1,0,0,0.0,0,415179.931,5759517.958,7.764997455,51.979856083,POINT (7.764997455 51.979856083),,,1.0,2019-03-01 08:00:00,0,0,1,1,51.979856083,7.764997455,0
795078,236309.0,5,5,15,0,2019,3,7,6,3,4,6,0.0,,1,0,0,0,0.0,0,408026.525892,5757752.83147,7.661344475,51.962852085,POINT (7.661344475 51.962852085),,,1.0,2019-03-01 07:00:00,0,0,1,1,51.962852085,7.661344475,0
795184,236415.0,5,5,15,0,2019,3,8,7,3,5,7,0.0,,1,1,0,0,0.0,0,407760.692512,5758451.7628,7.657288719,51.969090415,POINT (7.657288719 51.969090415),,,0.0,2019-03-01 08:00:00,0,0,1,1,51.969090415,7.657288719,0
795289,236520.0,5,5,15,0,2019,3,14,5,3,6,4,0.0,,1,0,1,0,0.0,0,403508.153,5757664.85811,7.595626029,51.961295508,POINT (7.595626029 51.961295508),,,1.0,2019-03-01 14:00:00,0,0,1,1,51.961295508,7.595626029,0
795340,236571.0,5,5,15,0,2019,3,14,4,3,5,3,0.0,,1,1,0,0,0.0,0,406264.361216,5757406.70775,7.635798764,51.959446649,POINT (7.635798764 51.959446649),,,1.0,2019-03-01 14:00:00,0,0,1,1,51.959446649,7.635798764,0
795430,236661.0,5,5,15,0,2019,3,12,5,3,0,7,0.0,,1,0,0,0,0.0,0,408487.790507,5756265.5047,7.668452284,51.949559225,POINT (7.668452284 51.949559225),,,0.0,2019-03-01 12:00:00,0,0,1,1,51.949559225,7.668452284,0
795567,236798.0,5,5,15,0,2019,3,18,3,3,1,5,0.0,,1,1,0,0,0.0,0,406689.689253,5757768.63804,7.641888656,51.962771396,POINT (7.641888656 51.962771396),,,0.0,2019-03-01 18:00:00,0,0,1,1,51.962771396,7.641888656,0
795632,236863.0,5,5,15,0,2019,3,5,2,3,5,3,2.0,,1,1,0,0,0.0,0,405852.072569,5754437.71655,7.63061339,51.932690304,POINT (7.63061339 51.932690304),,,1.0,2019-03-01 05:00:00,0,0,1,1,51.932690304,7.63061339,0
795721,236952.0,5,5,15,0,2019,3,16,2,3,1,5,0.0,,1,1,0,0,0.0,0,405964.1,5756319.258,7.631727802,51.949621448,POINT (7.631727802 51.949621448),,,1.0,2019-03-01 16:00:00,0,0,1,1,51.949621448,7.631727802,0
795722,236953.0,5,5,15,0,2019,3,16,2,3,4,6,0.0,,1,0,0,0,0.0,0,406795.015,5758466.892,7.643231653,51.969065311,POINT (7.643231653 51.969065311),,,1.0,2019-03-01 16:00:00,0,0,1,1,51.969065311,7.643231653,0
795857,237088.0,5,5,15,0,2019,3,15,6,3,5,7,0.0,,1,1,0,0,0.0,0,404295.066564,5755430.79704,7.607697497,51.941350943,POINT (7.607697497 51.941350943),,,0.0,2019-03-01 15:00:00,0,0,1,1,51.941350943,7.607697497,0
795858,237089.0,5,5,15,0,2019,3,7,6,2,5,3,0.0,,1,1,0,0,0.0,0,411415.972,5751922.726,7.712164975,51.910996963,POINT (7.712164975 51.910996963),,,0.0,2019-03-01 07:00:00,0,1,0,1,51.910996963,7.712164975,0
795938,237169.0,5,5,15,0,2019,3,13,7,2,0,1,0.0,,1,0,0,0,0.0,0,404422.036745,5760584.40862,7.608109679,51.987695286,POINT (7.608109679 51.987695286),,,0.0,2019-03-01 13:00:00,0,1,0,1,51.987695286,7.608109679,0
796007,237238.0,5,5,15,0,2019,3,8,6,3,3,6,0.0,,1,0,0,0,0.0,0,407652.66755,5758285.39738,7.655761434,51.967577098,POINT (7.655761434 51.967577098),,,0.0,2019-03-01 08:00:00,0,0,1,1,51.967577098,7.655761434,0
796008,237239.0,5,5,15,0,2019,3,1,6,3,1,7,2.0,,1,1,0,0,0.0,0,405198.540359,5758814.7701,7.619903212,51.971922177,POINT (7.619903212 51.971922177),,,0.0,2019-03-01 01:00:00,0,0,1,1,51.971922177,7.619903212,0
796140,237371.0,5,5,15,0,2019,3,15,4,3,4,2,0.0,,1,1,0,0,0.0,0,409820.504134,5752114.4805,7.688926356,51.91246456,POINT (7.688926356 51.91246456),,,0.0,2019-03-01 15:00:00,0,0,1,1,51.91246456,7.688926356,0
796165,237396.0,5,5,15,0,2019,4,19,5,3,4,6,0.0,,1,1,0,0,0.0,0,405461.417658,5755197.95053,7.624724113,51.939457418,POINT (7.624724113 51.939457418),,,1.0,2019-04-01 19:00:00,0,0,1,1,51.939457418,7.624724113,0
796233,237464.0,5,5,15,0,2019,4,17,4,2,0,1,0.0,,1,0,0,0,0.0,0,407023.710485,5759487.06887,7.646283368,51.978273461,POINT (7.646283368 51.978273461),,,0.0,2019-04-01 17:00:00,0,1,0,1,51.978273461,7.646283368,0
796357,237588.0,5,5,15,0,2019,4,14,2,3,1,5,0.0,,1,1,0,0,0.0,0,404905.523035,5756967.11022,7.616150499,51.955264633,POINT (7.616150499 51.955264633),,,0.0,2019-04-01 14:00:00,0,0,1,1,51.955264633,7.616150499,0
796470,237701.0,5,5,15,0,2019,4,19,2,3,1,3,0.0,,1,1,0,0,0.0,0,404806.507,5759073.183,7.614126217,51.974177878,POINT (7.614126217 51.974177878),,,0.0,2019-04-01 19:00:00,0,0,1,1,51.974177878,7.614126217,0
796522,237753.0,5,5,15,0,2019,4,17,1,3,0,7,0.0,,1,0,1,0,0.0,0,405198.205468,5753293.29394,7.621421077,51.922292708,POINT (7.621421077 51.922292708),,,0.0,2019-04-01 17:00:00,0,0,1,1,51.922292708,7.621421077,0
796624,237855.0,5,5,15,0,2019,4,18,6,3,2,3,0.0,,1,1,0,0,0.0,0,405501.22381,5756465.7712,7.624954514,51.950859925,POINT (7.624954514 51.950859925),,,0.0,2019-04-01 18:00:00,0,0,1,1,51.950859925,7.624954514,0
796625,237856.0,5,5,15,0,2019,4,16,6,3,3,2,0.0,,1,0,0,0,0.0,0,405425.049,5758255.198,7.623353792,51.966931106,POINT (7.623353792 51.966931106),,,0.0,2019-04-01 16:00:00,0,0,1,1,51.966931106,7.623353792,0
796724,237955.0,5,5,15,0,2019,4,7,6,3,5,2,0.0,,1,1,0,0,0.0,0,406636.221961,5758239.59517,7.640982642,51.966995609,POINT (7.640982642 51.966995609),,,0.0,2019-04-01 07:00:00,0,0,1,1,51.966995609,7.640982642,0
796833,238064.0,5,5,15,0,2019,4,7,4,3,5,3,0.0,,1,1,0,0,0.0,0,404434.657648,5760667.83582,7.608270168,51.988447328,POINT (7.608270168 51.988447328),,,0.0,2019-04-01 07:00:00,0,0,1,1,51.988447328,7.608270168,0
796903,238134.0,5,5,15,0,2019,4,7,3,3,5,2,0.0,,1,1,0,0,0.0,0,405289.868,5766643.967,7.61906769,52.042309215,POINT (7.61906769 52.042309215),,,0.0,2019-04-01 07:00:00,0,0,1,1,52.042309215,7.61906769,0
796929,238160.0,5,5,15,0,2019,4,13,7,3,5,3,0.0,,1,0,0,0,0.0,0,403640.156774,5757352.7132,7.597634197,51.958512742,POINT (7.597634197 51.958512742),,,1.0,2019-04-01 13:00:00,0,0,1,1,51.958512742,7.597634197,0
796979,238210.0,5,5,15,0,2019,4,8,4,2,5,3,0.0,,1,0,0,0,0.0,0,405208.894,5757219.747,7.620494175,51.957587232,POINT (7.620494175 51.957587232),,,0.0,2019-04-01 08:00:00,0,1,0,1,51.957587232,7.620494175,0
796980,238211.0,5,5,15,0,2019,4,6,4,3,5,2,0.0,,1,1,0,0,0.0,0,405903.526273,5758251.74668,7.630317363,51.966981286,POINT (7.630317363 51.966981286),,,0.0,2019-04-01 06:00:00,0,0,1,1,51.966981286,7.630317363,0
796981,238212.0,5,5,15,0,2019,4,16,4,3,5,1,0.0,,1,0,0,0,0.0,0,405940.996374,5756795.66552,7.631261344,51.953899714,POINT (7.631261344 51.953899714),,,0.0,2019-04-01 16:00:00,0,0,1,1,51.953899714,7.631261344,0
797265,238496.0,5,5,70,44,2019,4,17,2,3,3,6,0.0,,1,0,0,0,0.0,0,413573.640581,5761947.56066,7.741003082,52.001447759,POINT (7.741003082 52.001447759),,,0.0,2019-04-01 17:00:00,0,0,1,1,52.001447759,7.741003082,0
797466,238697.0,5,5,15,0,2019,4,18,5,3,5,7,0.0,,1,1,0,0,0.0,0,402244.242294,5758234.51067,7.577074596,51.966194892,POINT (7.577074596 51.966194892),,,0.0,2019-04-01 18:00:00,0,0,1,1,51.966194892,7.577074596,0
797491,238722.0,5,5,15,0,2019,4,9,3,3,5,3,0.0,,1,1,0,0,0.0,0,403349.915,5760905.579,7.592411044,51.990396535,POINT (7.592411044 51.990396535),,,0.0,2019-04-01 09:00:00,0,0,1,1,51.990396535,7.592411044,0
797521,238752.0,5,5,15,0,2019,4,18,6,3,3,2,0.0,,1,0,0,0,0.0,0,405735.416,5757701.013,7.628022258,51.96200257,POINT (7.628022258 51.96200257),,,0.0,2019-04-01 18:00:00,0,0,1,1,51.96200257,7.628022258,0
797576,238807.0,5,5,15,0,2019,4,3,5,3,0,6,2.0,,1,1,0,0,0.0,0,404456.900816,5758393.48536,7.609227275,51.968008521,POINT (7.609227275 51.968008521),,,0.0,2019-04-01 03:00:00,0,0,1,1,51.968008521,7.609227275,0
797628,238859.0,5,5,15,0,2019,4,15,4,2,7,1,0.0,,1,0,0,0,0.0,0,402032.498402,5753777.53442,7.575263632,51.92609717,POINT (7.575263632 51.92609717),,,0.0,2019-04-01 15:00:00,0,1,0,1,51.92609717,7.575263632,0
797629,238860.0,5,5,15,0,2019,4,23,4,2,5,3,2.0,,1,1,0,0,0.0,0,406268.437488,5757521.89541,7.635826638,51.960482697,POINT (7.635826638 51.960482697),,,1.0,2019-04-01 23:00:00,0,1,0,1,51.960482697,7.635826638,0
797718,238949.0,5,5,15,0,2019,4,14,3,3,3,6,0.0,,1,1,0,0,0.0,0,406207.121018,5757438.0999,7.63495739,51.959719163,POINT (7.63495739 51.959719163),,,0.0,2019-04-01 14:00:00,0,0,1,1,51.959719163,7.63495739,0
797738,238969.0,5,5,15,0,2019,5,19,4,3,0,7,0.0,,1,0,0,0,0.0,0,407638.535127,5757705.58801,7.655711728,51.962363113,POINT (7.655711728 51.962363113),,,0.0,2019-05-01 19:00:00,0,0,1,1,51.962363113,7.655711728,0
797739,238970.0,5,5,15,0,2019,5,15,4,3,4,6,0.0,,1,0,0,0,0.0,0,406214.946,5758634.835,7.634744395,51.970477286,POINT (7.634744395 51.970477286),,,0.0,2019-05-01 15:00:00,0,0,1,1,51.970477286,7.634744395,0
797786,239017.0,5,5,15,0,2019,4,17,3,3,0,5,0.0,,1,1,0,0,0.0,0,404713.934517,5754306.6964,7.614100599,51.931318944,POINT (7.614100599 51.931318944),,,0.0,2019-04-01 17:00:00,0,0,1,1,51.931318944,7.614100599,0
797787,239018.0,5,5,15,0,2019,4,18,3,3,4,7,0.0,,1,1,0,0,0.0,0,405304.718,5757273.58,7.621873438,51.958087433,POINT (7.621873438 51.958087433),,,0.0,2019-04-01 18:00:00,0,0,1,1,51.958087433,7.621873438,0
